user,total_amount,liquid_amount,vested_amount
0x93c20947353996eb928af059c07546814a7f88c6,1909000000000000000000,305000000000000000000,1604000000000000000000
0xdb4f969eb7904a6ddf5528ae8d0e85f857991cfd,1907000000000000000000,305000000000000000000,1602000000000000000000
0x49639462e485d9197585a132eb962183260a9c28,1910000000000000000000,305000000000000000000,1605000000000000000000
0xd670a99b9ad6b9fe256294f51cfe5f38e51d54aa,1926000000000000000000,308000000000000000000,1618000000000000000000
0x8ac85761268b9ac3fde06d381611b64b232cea97,1902000000000000000000,304000000000000000000,1598000000000000000000
0x13a4f1afd084b2d3c350470abed3574942224029,1902000000000000000000,304000000000000000000,1598000000000000000000
0x05d8fa8346470be95c8fa94300ccb313c0775c6c,1909000000000000000000,305000000000000000000,1604000000000000000000
0xa09e729b79872b29f5b532c48131ff80750efd35,1926000000000000000000,308000000000000000000,1618000000000000000000
0x00aae21e3b89cde691d75b050a39b2b06949d6be,1884000000000000000000,301000000000000000000,1583000000000000000000
0x094646895a32af6226297280cb58b5401e9f7a04,1884000000000000000000,301000000000000000000,1583000000000000000000
0xb5e5291a1ba4cd85c67e9489cd3a22ddd652d86c,1881000000000000000000,300000000000000000000,1581000000000000000000
0x1169a721e2e2052ac3768ca3a6e120b745247097,1838000000000000000000,294000000000000000000,1544000000000000000000
0x22e18d2921fe5c525be9d3c4510ae13895b75723,1851000000000000000000,296000000000000000000,1555000000000000000000
0x4efa2bf4276156033520bba0c62e9d71356a85ba,1849000000000000000000,295000000000000000000,1554000000000000000000
0x35cd25c7db79262c230c0ab93aca9ed2001fb389,1821000000000000000000,291000000000000000000,1530000000000000000000
0xf7563a85592b79723d718bb7ab7ee11fe9e67c60,1846000000000000000000,295000000000000000000,1551000000000000000000
0x01dfc299e1530c5dff2e149d24923fe5ff492bc7,1814000000000000000000,290000000000000000000,1524000000000000000000
0xe26b40d8d43739e650b3718a8530cfe3fb701f14,1815000000000000000000,290000000000000000000,1525000000000000000000
0x49582b93663971352c5e8ddfffab939a817d46a2,1809000000000000000000,289000000000000000000,1520000000000000000000
0xe5a90295f0935bf7c2304feec984ced27787de02,1789000000000000000000,286000000000000000000,1503000000000000000000
0x9cd73b06b6204bb512d75aa5eefeb92251c6aa25,1790000000000000000000,286000000000000000000,1504000000000000000000
0xa438d32c1f5b13b3552ef49d3f042428ce0293d5,1793000000000000000000,286000000000000000000,1507000000000000000000
0x7748cc032eebd802ddfd0eb29db65c02fe790e6b,1814000000000000000000,290000000000000000000,1524000000000000000000
0x5f605f12ce2ff540e9d5cb7b12d66623c23b1e94,1783000000000000000000,285000000000000000000,1498000000000000000000
0x26e40ea3e3229d785f2fbfce7c877abb7aeabb85,1759000000000000000000,281000000000000000000,1478000000000000000000
0xce75bb6f341975d377e7b68c7638a6f9d52f6885,1757000000000000000000,281000000000000000000,1476000000000000000000
0xc99cfc69255821f00dc6a4c46604daf3492600be,1784000000000000000000,285000000000000000000,1499000000000000000000
0xa98d2867de6b1dff44fe4b355dea098e81d06aeb,1762000000000000000000,281000000000000000000,1481000000000000000000
0xd2d2a1c711383a9afad42528d523bbe0ca075695,1781000000000000000000,284000000000000000000,1497000000000000000000
0xf6c289a4f32a9aaec6d7e9fc8644ce8659fd8503,1756000000000000000000,280000000000000000000,1476000000000000000000
0x0dcc689026510eff2a33bc95223946f50b04358e,1776000000000000000000,284000000000000000000,1492000000000000000000
0xe50074856d95f6011ac34d7088273a2a02e2ffe7,1778000000000000000000,284000000000000000000,1494000000000000000000
0x98877278de1d6253532b718230a93ec13fe5788d,1748000000000000000000,279000000000000000000,1469000000000000000000
0xee30d99e51cb4a0c801b5e36919d0cad242ffd75,1750000000000000000000,280000000000000000000,1470000000000000000000
0x2a0b3b4554e017804b19c515fb6a1f64354464d9,1737000000000000000000,277000000000000000000,1460000000000000000000
0xe913a5fe3faa5f0fa0d420c87337c7cb99a0c6e5,1745000000000000000000,279000000000000000000,1466000000000000000000
0x23bcea52a79c48cbcf6b9168b77b36032b48dc32,1743000000000000000000,278000000000000000000,1465000000000000000000
0x50a708e5dfe836601931af3ff6169e5f4e5536ea,1751000000000000000000,280000000000000000000,1471000000000000000000
0xd0d688516c82105bd98e6ef376eb1d496b3d1e46,1753000000000000000000,280000000000000000000,1473000000000000000000
0xd8cfbb6e23b35ae52d99100f04490eb5a037b083,1731000000000000000000,276000000000000000000,1455000000000000000000
0xffb8cdfd99b72b37cdff07851d888833e7c89c44,1706000000000000000000,272000000000000000000,1434000000000000000000
0xe648892774920ccfa2151a54c789c41b74690d8a,1711000000000000000000,273000000000000000000,1438000000000000000000
0xae88336e1cbfe53972d5980114517ea3860243d2,1704000000000000000000,272000000000000000000,1432000000000000000000
0xab2458a821930a4ac485bc04573037af6f056f8e,1702000000000000000000,272000000000000000000,1430000000000000000000
0x7d59da845b69031a7eaaab0699c45fb3bad8a78f,1699000000000000000000,271000000000000000000,1428000000000000000000
0x9d4f51034c0a144a6fb85bb8ec79d1b08e466530,1693000000000000000000,270000000000000000000,1423000000000000000000
0xe7e816de502811bb78a6f91863d2fc02d5332daf,1677000000000000000000,268000000000000000000,1409000000000000000000
0xc2bfb1f47837ef645b4572182f65ba67904c2942,1657000000000000000000,265000000000000000000,1392000000000000000000
0xad4489f64a8be791294116d3e99d2721c7f0a72a,1664000000000000000000,266000000000000000000,1398000000000000000000
0xa165655e2dbdd2028629b95df883cf49612b8cd7,1650000000000000000000,264000000000000000000,1386000000000000000000
0x3c9ff2b8ff27c1cb882e9e350d83fb8ac6d647a3,1654000000000000000000,264000000000000000000,1390000000000000000000
0x6f6f4a8051a5df30f25537a554a446ae851129e2,1649000000000000000000,263000000000000000000,1386000000000000000000
0xbf5c5f9779156195197b32b05f1ff00f5cecc1e5,1647000000000000000000,263000000000000000000,1384000000000000000000
0xa6d3e69244049f9aed398b28fcf54a5a3d3931dd,1611000000000000000000,257000000000000000000,1354000000000000000000
0x9d14f479596dd31fd6218b1138641b1b1b30e5de,1625000000000000000000,260000000000000000000,1365000000000000000000
0x9d5a0d61a746d3dd9c50c765b91a0fc7e1fa9c79,1616000000000000000000,258000000000000000000,1358000000000000000000
0xa9d403b3905b7b5c9c345f711a8b9e858aaa4856,1625000000000000000000,260000000000000000000,1365000000000000000000
0x3288338837dc90afbb81a93e5a9c3c5688436e10,1624000000000000000000,259000000000000000000,1365000000000000000000
0xdf4b06ee39d048c3fc47b685173053dd90a65319,1629000000000000000000,260000000000000000000,1369000000000000000000
0xe53936940206ba9acb7d4ea9985978ed92bf7a75,1620000000000000000000,259000000000000000000,1361000000000000000000
0x43601fa8a032974a0f558f5bd3afe6865ae13a76,1594000000000000000000,255000000000000000000,1339000000000000000000
0x6dfff150bd18d8a99ab3cdcba88c15d73416d77a,1598000000000000000000,255000000000000000000,1343000000000000000000
0x2d0b843ac9559d3a9bd747c3541bd68c54500a3a,1604000000000000000000,256000000000000000000,1348000000000000000000
0x05423d13ef9fdeedd51a591d245466c66e0c1fad,1605000000000000000000,256000000000000000000,1349000000000000000000
0x442eb80be7d2a5e6d3c48cd6692529a61c20f6ef,1575000000000000000000,252000000000000000000,1323000000000000000000
0x1c3281575b4d677713c6c1fc8d638a2ea2558346,1579000000000000000000,252000000000000000000,1327000000000000000000
0x79f40bab2b2f82a03e5cccbaf182092bc16c4c6d,1580000000000000000000,252000000000000000000,1328000000000000000000
0x9de4b66a46d496b63fea299d712efe76b89c8f1e,1582000000000000000000,253000000000000000000,1329000000000000000000
0x72597de06e58ad98c6f66c6cd8fab1dd9f73a2ca,1573000000000000000000,251000000000000000000,1322000000000000000000
0xbb42b450fc5751e87e9180e96c4ccfd674aa6080,1556000000000000000000,248000000000000000000,1308000000000000000000
0x52547f9bc16c11e81b1084ae0313420059b123ba,1557000000000000000000,249000000000000000000,1308000000000000000000
0x5af46a04aec8ede1aa041d55111c65a55b927eaf,1565000000000000000000,250000000000000000000,1315000000000000000000
