user,total_amount,liquid_amount,vested_amount,tx
0x514259c9f46d24c6b2564bc95280888b98755164,5264000000000000000000,842000000000000000000,4422000000000000000000,0xb2cea16454168da444dc3f28167e39af97df8687f72578e1854aae0f6ad99c01
0x87f16c31e32ae543278f5194cf94862f1cb1eee0,5557000000000000000000,889000000000000000000,4668000000000000000000,0x9d75dfb2e03736bac1c33a749b63575914e1e7c5e273d6894ab961699fbb3cce
0x6bd5b4ce070bffbb8fa9d138df171aaef724f8ee,5748000000000000000000,919000000000000000000,4829000000000000000000,0xaf4c7edfb0e5bb9eca2325a3e86a35757d2b53baa3974a0f122f77e2c7583e09
0x574b4546cb756a8d36edf5907f4cc963a3cab612,5575000000000000000000,892000000000000000000,4683000000000000000000,0xeb214c3873c141721ed82ef052e95a4f577d93b50e9d68fdae71e729a4708db7
0x4eb8f786162e206fcbfb7baece4d47fcb6b068e2,5058000000000000000000,809000000000000000000,4249000000000000000000,0xdadc80cf5afcbd3a1c3618f277b0a339b4fcd5972eaf2fd8d2e86ec7de3295f3
0x4688b6f3c384c3cffe95c92f599213de4a9fa9ca,5016000000000000000000,802000000000000000000,4214000000000000000000,0x4c25ab6740672ca2992a47793747edc20977a387811ad2fe59295f93a611a772
0xc6325f5da5599974aa22d2eae00fc96231aa2f5e,5164000000000000000000,826000000000000000000,4338000000000000000000,0x89481bd2cf2dcb3a84cb2f7193e1cd12fde13cdf25b278d349d29cb487298986
0xd67712c564233d3e88a5c98c936b055cdf81a87d,4692000000000000000000,750000000000000000000,3942000000000000000000,0x7fad1b7e6f32b435f26515c58f471026e5653fe65f882920708c77d45544f4f7
0xed2c2cdec695be3a4dc421c1a8a6756dc5a927b6,4439000000000000000000,710000000000000000000,3729000000000000000000,0xca3b727dabb5bbc16ce6a8ba8bed0e3299e5b207489ea113fbb99ae516905f69
0x3439ccc6b6fbbf3d3db4fb59f16e8c1c31ff142a,4471000000000000000000,715000000000000000000,3756000000000000000000,0x5022e36434d5163eb5162f37f71f079d566f4d19579689fbdbc154945cd730fe
0x088ddc008952e8c208c9fe4ac635ededc5e480fd,4674000000000000000000,747000000000000000000,3927000000000000000000,0x7fbf9b737afb8c97f02b46966f53dd42f1eec6952d00b7359d1acb740ddde87b
0xe01782791b3986ad4bf1e6290a5e932011a54b83,4597000000000000000000,735000000000000000000,3862000000000000000000,0x4c444b58641ca2ce4484a60429706647f3658930a5f4704194b4bd033e89c668
0xcd81917ff5313d02d7da3d47a9afcd3f635c36e3,4362000000000000000000,697000000000000000000,3665000000000000000000,0x027f65e389a046d1d83d57f19bb68ae894e6a87fe1c0ba7bd25c9585abde8876
0x400e1caa1399e994d047fa5769958fc0e089cfe1,4335000000000000000000,693000000000000000000,3642000000000000000000,0x97d1c2947f3c889b0a7248bf662e5b02653a990528423af175ac0a92ace8978b
0xd2d70bda86d2c2a74a63a5229f01b70669f34988,4240000000000000000000,678000000000000000000,3562000000000000000000,0xcdc3e54c5988b28533b5915a0d32159b3bb07ec38ff1a8b3912587b646b7427d
0x11197272254ac4814828ad9c4571456b6483908d,3842000000000000000000,614000000000000000000,3228000000000000000000,0xfcc1e743229b2fe157f284e2f3561b3c106229fc2ff9b2aaab8ec88dc9d49089
0xcb726f13479963934e91b6f34b6e87ec69c21bb9,3937000000000000000000,629000000000000000000,3308000000000000000000,0x9df2a2596680bea459b1de23684abcdcac36d10eda6aaaff57c0e26e55b82f3b
0x141f5f69bca4314b897d1da9e911d745474aa920,3842000000000000000000,614000000000000000000,3228000000000000000000,0xa201bc269121acf94d6cf88d4695e54dfca59dcd15414176e89bca435d7a4d2c
0x7605a685aaa76bc65ac6799627eca70d5966a10d,4011000000000000000000,641000000000000000000,3370000000000000000000,0x795f554156ba5dcafe637244194da10905c4ccdc8328cda3b260fbd7c3e43588
0x19af41b762ecdaaa98b8a1cfb272fccddd956c8f,3661000000000000000000,585000000000000000000,3076000000000000000000,0x88c143d12e51a4d45af747375b421c35e4523a72c0fdda8f460be57bc46d6eac
0xbb518c7a5870317f2ddca6417deea7445f12c588,3693000000000000000000,590000000000000000000,3103000000000000000000,0x51dfd40919d5d6ecd2fd13467e67c2b2a29ba1cea7cc9f96ffe12622c1022a3e
0x3b17973152eb015e21a03088fea0446009781fb4,3588000000000000000000,574000000000000000000,3014000000000000000000,0x5359998bff51bd47cf7fa2b2dd0c509b3af51d3c9041a33400b900992653e8ff
0x78eac57063c209b0e977aa3f64ba9f89d8b2b1f1,3587000000000000000000,573000000000000000000,3014000000000000000000,0x54c3e8c44f2cf0e2e858dc525cc3e2036449ef394c0272ed68b8b3a9e4a5c17f
0x923e249466077299a376bb9dd728234b7cf33f01,3714000000000000000000,594000000000000000000,3120000000000000000000,0xaa356a42c7e5279c22bbe3180d548f42e2f5e2b8c75ee467ac58d0a598403829
0xe0a4ee5eb2e12900d42c33aadcf19eb04e8ab266,3638000000000000000000,582000000000000000000,3056000000000000000000,0x8d416a095b6b6833aae215b7adbbcb30498f25995cd39118815fec34e8bb5009
0x85df0debb5758a2f282a1aace604ea0cd6337665,3677000000000000000000,588000000000000000000,3089000000000000000000,0x37b831d986999b1922851a7a1128ff1c26823cdc8373e354355f6f4f396e6618
0x93047e729b95145ae77a25aa49bc9b0c04eb4b06,3574000000000000000000,571000000000000000000,3003000000000000000000,0xf8f0b501807adc3e2fcc31f5e1c4d77d1e33494868c82f11d341553edbf33496
0x6e792e02f3b2ad9ddfebdd0fe1c2e90f4f46fbbf,3575000000000000000000,572000000000000000000,3003000000000000000000,0xd8dbac8f7b8e78207b205dab4d4d01381697dd974e1cab3487bd455c31992004
