user,total_amount,liquid_amount,vested_amount
0x9df1a0ce9a78982c86c2c0e1fed23b5919d40655,9789000000000000000000,1566000000000000000000,8223000000000000000000
0xbe0030b71e9eded2b417f2a459c0ce24a4e8089a,11870000000000000000000,1899000000000000000000,9971000000000000000000
0xa7b51d73624cd95166acf34f75396d02057c1d5c,11599000000000000000000,1855000000000000000000,9744000000000000000000
0xd88f6bad056f9fdbadaed75379afa5e422e05314,9890000000000000000000,1582000000000000000000,8308000000000000000000
0xe62f16afd28a43e6b010ed719c4a98e4143858aa,9497000000000000000000,1519000000000000000000,7978000000000000000000
0x79eb3ad488cff41f18b4c13dc0df95fae3bd01f4,11805000000000000000000,1888000000000000000000,9917000000000000000000
0x31850235b73dbfaeadb6f1ccff2789e27877bd30,12272000000000000000000,1963000000000000000000,10309000000000000000000
0xd3f699eacc59fbb87d82da9ff32809faa4c4d0b2,11972000000000000000000,1915000000000000000000,10057000000000000000000
0x14dd1939fed9623569c2bf7c92145a5d94cbf8b4,10273000000000000000000,1643000000000000000000,8630000000000000000000
0x64676cf8274fb8caf8ff718492157a2cc26f7829,12098000000000000000000,1935000000000000000000,10163000000000000000000
0x263d4c8b9671f50dc9a4f5075041dec0590df52f,11881000000000000000000,1900000000000000000000,9981000000000000000000
0xfb61e503d5572896d6590c29613e799d49766652,9543000000000000000000,1526000000000000000000,8017000000000000000000
0x79149b8a44e03c3022c17443fe4e816e31acfa46,10162000000000000000000,1625000000000000000000,8537000000000000000000
0x1111111d0236eed213100711db95dbb2db486240,10475000000000000000000,1676000000000000000000,8799000000000000000000
0x728ac133a5c9250a61f7b27abbe7a823e786ff66,11249000000000000000000,1799000000000000000000,9450000000000000000000
0x88888f31f9ab8e195b7b05d717f4abaabaef33a0,10009000000000000000000,1601000000000000000000,8408000000000000000000
0xa0f2e2f7b3ab58e3e52b74f08d94ae52778d46df,10273000000000000000000,1643000000000000000000,8630000000000000000000
0xe71cbf47fff309813bcea54f3ecf49a5f129264d,10965000000000000000000,1754000000000000000000,9211000000000000000000
0x25b0dc0e6246d25e402f2a02c8318f6fe3f090dc,9668000000000000000000,1546000000000000000000,8122000000000000000000
0xb5ef0651325312029718f7bd5b0db958b1b011a9,11874000000000000000000,1899000000000000000000,9975000000000000000000
0x7c83c221cfb92d6bb56437d5a5519d75d9831b37,8373000000000000000000,1339000000000000000000,7034000000000000000000
0x2385233abb910357e2b97a16d40e0443e53d0769,7888000000000000000000,1262000000000000000000,6626000000000000000000
0x849adb6964e430a6be07883dcdc217d6c7961ab9,9246000000000000000000,1479000000000000000000,7767000000000000000000
0x0236b5047fe8fb6250155c197a45ed7a67d9fc9a,8731000000000000000000,1396000000000000000000,7335000000000000000000
